m,0,1,2,3,4,5,6,7,8,9
24.985512,17.077174,17.018447,16.998936,16.950371,17.075859,16.957533,17.019415,16.965424,16.978243,16.98079
1216.192,253,308.84,301.88,251.4,214.2,298.48,234.64,320.36,287.12,251.96
25.7718,0.030984,0.025772,0.063006,-0.020068,-0.010703,0.013913,-0.085811,-0.030116,-0.096917,-0.012519
1271.0016,17.876262,17.805591,17.798199,17.748767,17.885401,17.759642,17.827428,17.757421,17.772634,17.783802
26.555009,272.64,333.32,326.16,269.2,233.76,320.8,250.68,343.68,308.16,272
1325.456,0.017672,0.030303,0.07149,0.009406,0.073634,0.010006,-0.115512,-0.008829,-0.137835,-0.003118
27.334762,18.670389,18.587559,18.609104,18.556429,18.686488,18.560347,18.632861,18.55364,18.564818,18.587977
1379.448,292.48,358.36,351.2,287.76,251.56,344.24,266.56,367.4,330.84,290.48
28.110625,0.014424,0.036595,0.094798,0.038646,-0.043244,0.048616,-0.130726,-0.008438,-0.076809,-0.091754
1432.872,19.459595,19.370173,19.426561,19.367166,19.480986,19.36575,19.437992,19.357024,19.368207,19.390497
28.882102,312.8,383.96,375.76,306.12,269.72,367.24,282.6,390.72,353.76,311.36
1485.624,0.021465,0.044983,0.055087,0.012638,-0.043737,0.015069,-0.131826,-0.035523,-0.077936,0.012527
29.648619,20.247366,20.161375,20.234162,20.172608,20.25898,20.179613,20.257041,20.158428,20.178746,20.193542
1537.6016,332.92,409.56,400.32,324.64,288.56,390.16,300.2,416.76,376.8,330.84
30.409511,0.005254,0.044216,0.040882,0.017794,-0.027695,0.002533,-0.061686,0.069393,-0.07715,-0.065051
1588.704,21.039304,20.96449,21.025768,20.970424,21.031249,20.996453,21.083945,20.955066,20.993765,21.002747
31.164003,352.88,435.56,423.32,342.76,308.32,412.44,318.2,441.92,400.6,351.68
1638.832,-0.015478,0.05588,-0.03676,-0.017598,0.017446,-0.034769,-0.053814,0.028189,-0.054269,-0.001971
31.911184,21.824531,21.77155,21.814185,21.763028,21.796577,21.821222,21.92032,21.755127,21.813821,21.809792
1687.888,373.44,461.92,446.48,360.32,328.44,435.12,335.88,465.56,424.36,372.16
32.649979,0.006555,0.050534,-0.032205,-0.047284,0.030467,-0.018882,-0.075674,-0.035953,-0.061273,-0.025622
1735.776,22.604929,22.568077,22.612375,22.563055,22.554705,22.643454,22.746387,22.564058,22.636128,22.613266
33.379113,394.12,489.16,469.72,377.48,348.2,459.64,354.88,489.84,448.36,393
1782.4016,0.007172,0.080952,-0.03243,-0.067001,0.003634,0.05299,-0.021817,-0.007078,-0.05247,-0.005605
34.097055,23.37974,23.362791,23.422235,23.367906,23.31203,23.459184,23.567176,23.372805,23.449681,23.412412
1827.672,415.84,514.32,493.76,393.6,367.72,482.56,373.16,514.4,472.36,414.36
34.801957,0.061761,0.005596,-0.004972,-0.13157,0.00432,-0.020004,-0.058885,-0.005385,-0.061878,0.006742
1871.496,24.153734,24.147381,24.240246,24.168595,24.069653,24.274241,24.382952,24.173899,24.245223,24.21545
35.491568,437.68,539.48,517.4,409.8,387.04,505.2,391.8,538.36,496.52,435.56
1913.784,0.057392,0.007045,-0.021528,-0.12603,-0.006729,-0.035473,-0.050491,-0.028335,-0.042036,0.004258
36.163116,24.933827,24.912926,25.038474,24.964384,24.84284,25.073376,25.187071,24.971875,25.02549,25.016199
1954.448,460.36,563.8,540.2,426.08,406.72,528.48,410.8,562.08,522,455.88
36.813149,0.109516,-0.029374,-0.061097,-0.126641,0.011008,0.005598,-0.037961,-0.031336,0.009577,-0.036034
1993.4016,25.70514,25.670216,25.815389,25.746071,25.626501,25.861604,25.988584,25.751815,25.804672,25.798246
37.437314,481.56,588.72,563.2,442.2,426.68,551.04,430.04,585,546.56,476.36
2030.56,0.041771,0.014989,-0.047322,-0.133401,0.031687,-0.030475,-0.030898,-0.058074,-0.023365,-0.021357
38.030048,26.464454,26.429954,26.594274,26.510103,26.420679,26.639302,26.783771,26.512132,26.590416,26.57561
2065.84,502.2,613.68,586.48,458.96,446.68,573.4,450.2,609.16,571.24,496.76
38.584118,0.021902,0.024126,-0.026473,-0.090043,0.036141,-0.033434,0.01772,0.007069,-0.009301,-0.022328
2099.16,27.221777,27.202738,27.369223,27.267226,27.218774,27.417663,27.566089,27.26751,27.364673,27.351911
39.120338,523.28,637.84,609.96,475.28,465.88,595.52,470.32,632.28,595.88,518.12
2130.52,0.056434,0.006918,-0.004145,-0.107598,0.004742,-0.038167,0.013426,-0.023022,-0.000718,0.03888
39.663322,27.983008,27.977046,28.141473,28.015601,28.011415,28.18851,28.340794,28.024451,28.14085,28.114015
2159.9984,542.76,661.6,632.8,491.44,485.08,616.56,490.6,654.28,620.56,539.96
40.212868,-0.014725,0.006865,-0.030564,-0.098958,0.006306,-0.072127,0.031492,-0.050409,0.003119,0.063805
2187.672,28.754873,28.747221,28.902639,28.761333,28.808813,28.951562,29.109981,28.789223,28.922943,28.855273
40.76878,561.2,684.72,654.8,506.64,502.96,636.8,509.16,676.08,646.24,560.8
2213.616,-0.046764,-0.005078,-0.055606,-0.139311,-0.048061,-0.095227,-0.055279,-0.04563,0.056227,0.036677
41.330865,29.539507,29.51885,29.667638,29.518097,29.613462,29.722069,29.878912,29.559762,29.690825,29.60202
2237.904,578.92,707.04,676.16,521.4,521.96,657.08,528.32,697,671.72,581.56
41.898936,-0.070814,-0.02131,-0.058837,-0.147182,0.019628,-0.081602,-0.006761,-0.064504,0.066303,0.053496
2260.608,30.328674,30.296051,30.442287,30.260445,30.407427,30.472652,30.643001,30.33284,30.431216,30.355495
42.47281,596.68,729.36,697.32,535.52,539.28,677.76,546.68,717.44,695.2,601.16
