   0
0,2475.000000, 0.000000
1,2389.000000, 1.000000
2,2268.000000, 42.000000
3,2195.000000, 42.000000
4,2103.000000, 42.000000
5,2026.000000, 42.000000
6,1954.000000, 42.000000
7,1822.000000, 42.000000
8,1516.000000, 147.000000
9,1189.000000, 162.000000
10,614.000000, 353.000000
11,435.000000, 349.000000
   1
0,2475.000000, 0.000000
1,2440.000000, 0.000000
2,2393.000000, 0.000000
3,2285.000000, 1.000000
4,2023.000000, 42.000000
5,1847.000000, 42.000000
6,1479.000000, 155.000000
7,1101.000000, 155.000000
8,986.000000, 155.000000
9,617.000000, 155.000000
10,616.000000, 155.000000
   2
0,2475.000000, 0.000000
1,2441.000000, 0.000000
2,2395.000000, 0.000000
3,2344.000000, 1.000000
4,2275.000000, 7.000000
5,2109.000000, 102.000000
6,2020.000000, 102.000000
7,1898.000000, 102.000000
8,1399.000000, 214.000000
9,1224.000000, 214.000000
10,953.000000, 214.000000
11,900.000000, 214.000000
12,858.000000, 214.000000
13,385.000000, 255.000000
   3
0,2475.000000, 0.000000
1,2424.000000, 1.000000
2,2363.000000, 3.000000
3,2325.000000, 7.000000
4,2309.000000, 7.000000
5,2300.000000, 7.000000
6,2288.000000, 7.000000
7,2279.000000, 7.000000
8,2250.000000, 7.000000
9,2226.000000, 7.000000
10,2158.000000, 22.000000
11,2125.000000, 22.000000
12,2060.000000, 22.000000
13,1978.000000, 22.000000
14,1239.000000, 344.000000
15,1225.000000, 344.000000
16,1200.000000, 344.000000
17,1134.000000, 344.000000
18,515.000000, 507.000000
19,513.000000, 502.000000
20,513.000000, 443.000000
   4
0,2475.000000, 0.000000
1,2387.000000, 1.000000
2,2274.000000, 1.000000
3,2123.000000, 14.000000
4,1949.000000, 35.000000
5,1749.000000, 76.000000
6,1642.000000, 76.000000
7,1609.000000, 76.000000
8,1577.000000, 76.000000
9,1509.000000, 76.000000
10,1497.000000, 76.000000
11,1491.000000, 76.000000
12,1490.000000, 76.000000
13,1486.000000, 76.000000
14,1482.000000, 76.000000
