   n,     epsi,   alph  ,    p    , r,stp, bigg    ,  sec
2500, 0.200000, 500.000000, 0.500000, 0, 0, 84.000000, 76.000000
2500, 0.200000, 500.000000, 0.500000, 1, 1, 135.000000, 102.000000
2500, 0.200000, 500.000000, 0.500000, 2, 0, 116.000000, 89.000000
2500, 0.200000, 500.000000, 0.500000, 3, 0, 100.000000, 74.000000
2500, 0.200000, 500.000000, 0.500000, 4, 0, 132.000000, 87.000000
2500, 0.200000, 500.000000, 0.500000, 5, 0, 183.000000, 162.000000
2500, 0.200000, 500.000000, 0.500000, 6, 1, 104.000000, 86.000000
2500, 0.200000, 500.000000, 0.500000, 7, 1, 83.000000, 75.000000
2500, 0.200000, 500.000000, 0.500000, 8, 0, 126.000000, 78.000000
2500, 0.200000, 500.000000, 0.500000, 9, 1, 125.000000, 101.000000
2500, 0.200000, 500.000000, 0.500000, 10, 0, 175.000000, 76.000000
2500, 0.200000, 500.000000, 0.500000, 11, 1, 101.000000, 79.000000
2500, 0.200000, 500.000000, 0.500000, 12, 0, 69.000000, 69.000000
2500, 0.200000, 500.000000, 0.500000, 13, 1, 133.000000, 98.000000
2500, 0.200000, 500.000000, 0.500000, 14, 1, 111.000000, 109.000000
2500, 0.200000, 500.000000, 0.500000, 15, 1, 160.000000, 57.000000
2500, 0.200000, 500.000000, 0.500000, 16, 0, 69.000000, 65.000000
2500, 0.200000, 500.000000, 0.500000, 17, 0, 98.000000, 53.000000
2500, 0.200000, 500.000000, 0.500000, 18, 0, 136.000000, 80.000000
2500, 0.200000, 500.000000, 0.500000, 19, 0, 95.000000, 69.000000
2500, 0.200000, 500.000000, 0.500000, 20, 0, 193.000000, 79.000000
2500, 0.200000, 500.000000, 0.500000, 21, 0, 129.000000, 88.000000
2500, 0.200000, 500.000000, 0.500000, 22, 0, 85.000000, 81.000000
2500, 0.200000, 500.000000, 0.500000, 23, 0, 117.000000, 111.000000
2500, 0.200000, 500.000000, 0.500000, 24, 0, 120.000000, 89.000000
2500, 0.200000, 500.000000, 0.500000, 25, 0, 85.000000, 72.000000
2500, 0.200000, 500.000000, 0.500000, 26, 0, 374.000000, 105.000000
2500, 0.200000, 500.000000, 0.500000, 27, 0, 89.000000, 80.000000
2500, 0.200000, 500.000000, 0.500000, 28, 1, 146.000000, 129.000000
2500, 0.200000, 500.000000, 0.500000, 29, 0, 174.000000, 97.000000
2500, 0.200000, 500.000000, 0.500000, 30, 0, 157.000000, 69.000000
2500, 0.200000, 500.000000, 0.500000, 31, 0, 103.000000, 93.000000
2500, 0.200000, 500.000000, 0.500000, 32, 0, 159.000000, 130.000000
2500, 0.200000, 500.000000, 0.500000, 33, 0, 155.000000, 127.000000
2500, 0.200000, 500.000000, 0.500000, 34, 1, 227.000000, 177.000000
2500, 0.200000, 500.000000, 0.500000, 35, 0, 76.000000, 71.000000
2500, 0.200000, 500.000000, 0.500000, 36, 0, 171.000000, 84.000000
2500, 0.200000, 500.000000, 0.500000, 37, 0, 152.000000, 95.000000
2500, 0.200000, 500.000000, 0.500000, 38, 0, 85.000000, 83.000000
2500, 0.200000, 500.000000, 0.500000, 39, 0, 124.000000, 69.000000
2500, 0.200000, 500.000000, 0.500000, 40, 1, 133.000000, 84.000000
2500, 0.200000, 500.000000, 0.500000, 41, 0, 172.000000, 135.000000
2500, 0.200000, 500.000000, 0.500000, 42, 0, 152.000000, 146.000000
2500, 0.200000, 500.000000, 0.500000, 43, 0, 85.000000, 68.000000
2500, 0.200000, 500.000000, 0.500000, 44, 0, 97.000000, 73.000000
2500, 0.200000, 500.000000, 0.500000, 45, 0, 132.000000, 95.000000
2500, 0.200000, 500.000000, 0.500000, 46, 0, 96.000000, 74.000000
2500, 0.200000, 500.000000, 0.500000, 47, 1, 115.000000, 103.000000
2500, 0.200000, 500.000000, 0.500000, 48, 0, 109.000000, 103.000000
2500, 0.200000, 500.000000, 0.500000, 49, 0, 190.000000, 98.000000
2500, 0.200000, 500.000000, 0.500000, 50, 1, 200.000000, 156.000000
2500, 0.200000, 500.000000, 0.500000, 51, 1, 87.000000, 65.000000
2500, 0.200000, 500.000000, 0.500000, 52, 0, 90.000000, 69.000000
2500, 0.200000, 500.000000, 0.500000, 53, 0, 147.000000, 89.000000
2500, 0.200000, 500.000000, 0.500000, 54, 0, 100.000000, 77.000000
2500, 0.200000, 500.000000, 0.500000, 55, 1, 148.000000, 111.000000
2500, 0.200000, 500.000000, 0.500000, 56, 1, 193.000000, 144.000000
2500, 0.200000, 500.000000, 0.500000, 57, 0, 128.000000, 106.000000
2500, 0.200000, 500.000000, 0.500000, 58, 0, 156.000000, 102.000000
2500, 0.200000, 500.000000, 0.500000, 59, 0, 174.000000, 90.000000
2500, 0.200000, 500.000000, 0.500000, 60, 0, 56.000000, 55.000000
2500, 0.200000, 500.000000, 0.500000, 61, 0, 115.000000, 84.000000
2500, 0.200000, 500.000000, 0.500000, 62, 0, 135.000000, 78.000000
2500, 0.200000, 500.000000, 0.500000, 63, 0, 128.000000, 81.000000
2500, 0.200000, 500.000000, 0.500000, 64, 0, 99.000000, 91.000000
2500, 0.200000, 500.000000, 0.500000, 65, 0, 98.000000, 76.000000
2500, 0.200000, 500.000000, 0.500000, 66, 0, 149.000000, 92.000000
2500, 0.200000, 500.000000, 0.500000, 67, 0, 134.000000, 64.000000
2500, 0.200000, 500.000000, 0.500000, 68, 0, 103.000000, 90.000000
2500, 0.200000, 500.000000, 0.500000, 69, 0, 234.000000, 67.000000
2500, 0.200000, 500.000000, 0.500000, 70, 0, 89.000000, 85.000000
2500, 0.200000, 500.000000, 0.500000, 71, 0, 106.000000, 84.000000
2500, 0.200000, 500.000000, 0.500000, 72, 0, 147.000000, 130.000000
2500, 0.200000, 500.000000, 0.500000, 73, 0, 112.000000, 98.000000
2500, 0.200000, 500.000000, 0.500000, 74, 0, 211.000000, 154.000000
2500, 0.200000, 500.000000, 0.500000, 75, 1, 129.000000, 86.000000
2500, 0.200000, 500.000000, 0.500000, 76, 0, 117.000000, 113.000000
2500, 0.200000, 500.000000, 0.500000, 77, 1, 124.000000, 123.000000
2500, 0.200000, 500.000000, 0.500000, 78, 0, 145.000000, 72.000000
2500, 0.200000, 500.000000, 0.500000, 79, 0, 125.000000, 123.000000
2500, 0.200000, 500.000000, 0.500000, 80, 0, 108.000000, 105.000000
2500, 0.200000, 500.000000, 0.500000, 81, 0, 175.000000, 167.000000
2500, 0.200000, 500.000000, 0.500000, 82, 1, 122.000000, 80.000000
2500, 0.200000, 500.000000, 0.500000, 83, 1, 171.000000, 168.000000
2500, 0.200000, 500.000000, 0.500000, 84, 1, 150.000000, 70.000000
2500, 0.200000, 500.000000, 0.500000, 85, 1, 115.000000, 101.000000
2500, 0.200000, 500.000000, 0.500000, 86, 0, 81.000000, 71.000000
2500, 0.200000, 500.000000, 0.500000, 87, 0, 110.000000, 67.000000
2500, 0.200000, 500.000000, 0.500000, 88, 0, 141.000000, 100.000000
2500, 0.200000, 500.000000, 0.500000, 89, 1, 82.000000, 81.000000
