m,0,1,2,3,4,5,6,7,8,9
 m,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
3.92,0,0,0,0,0,0,0,0,0,0
1.707046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11.6016,1.707489,1.707183,1.707183,1.707526,1.706954,1.706955,1.707107,1.706765,1.707145,1.707681
2.490568,0,0,0,0,0,0,0,0,0,0
22.888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3.287964,2.490621,2.490757,2.49087,2.490825,2.490576,2.49042,2.490577,2.490241,2.490599,2.491255
37.624,0,0,0,0,0,0,0,0,0,0
4.090968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55.656,3.288143,3.288328,3.288089,3.288325,3.287503,3.288576,3.288095,3.287599,3.287589,3.288377
4.896685,0,0,0,0,0,0,0,0,0,0
76.832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5.703878,4.090971,4.091286,4.090865,4.091497,4.09026,4.09153,4.092091,4.090449,4.089874,4.090919
101.0016,0,0,0,0,0,0,0,0,0,0
6.511918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128.016,4.896425,4.897109,4.895345,4.896712,4.896308,4.896491,4.897756,4.896039,4.895536,4.896393
7.320442,0,0,0,0,0,0,0,0,0,0
157.728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.129218,5.704039,5.704467,5.701063,5.703085,5.703709,5.702146,5.70402,5.703785,5.702644,5.703872
189.992,0,0,0,0,0,0,0,0,0,0
8.938082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224.664,6.512489,6.512298,6.508945,6.510935,6.511916,6.508651,6.510743,6.512418,6.510517,6.511656
9.746914,0,0,0,0,0,0,0,0,0,0
261.6016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.555613,7.321058,7.320181,7.318334,7.31916,7.319838,7.316468,7.318123,7.32103,7.3191,7.31953
300.664,0,0,0,0,0,0,0,0,0,0
11.364092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
341.712,8.130359,8.128146,8.128342,8.127392,8.128312,8.125091,8.126335,8.12906,8.128174,8.12853
12.17227,0,0,0,0,0,0,0,0,0,0
384.608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12.980071,8.938944,8.93629,8.939123,8.93567,8.937983,8.93344,8.934774,8.936868,8.93719,8.938183
429.216,0,0,0,0,0,0,0,0,0,0
13.787418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
475.4016,9.747318,9.74527,9.750416,9.744353,9.748169,9.741684,9.743365,9.744157,9.746163,9.747359
14.594231,0,0,0,0,0,0,0,0,0,0
523.032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15.400429,10.556671,10.55339,10.561491,10.553164,10.557825,10.550159,10.552195,10.551742,10.555422,10.556967
571.976,0,0,0,0,0,0,0,0,0,0
16.205924,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
622.104,11.365851,11.361499,11.371835,11.362023,11.367383,11.358271,11.36073,11.360016,11.364495,11.366954
17.010622,0,0,0,0,0,0,0,0,0,0
673.288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17.814422,12.174921,12.170175,12.18085,12.170324,12.176502,12.166602,12.169588,12.16886,12.173867,12.176593
725.4016,0,0,0,0,0,0,0,0,0,0
18.617212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
778.32,12.983132,12.977966,12.98904,12.977876,12.984644,12.975782,12.979193,12.978837,12.983754,12.98534
19.418873,0,0,0,0,0,0,0,0,0,0
831.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20.219269,13.791045,13.784667,13.796478,13.785006,13.791871,13.784598,13.787807,13.788249,13.793597,13.792537
886.08,0,0,0,0,0,0,0,0,0,0
21.018253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
940.68,14.59768,14.590502,14.603279,14.590563,14.598662,14.592146,14.594865,14.595503,14.602909,14.598906
21.81566,0,0,0,0,0,0,0,0,0,0
995.6016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22.611307,15.402731,15.395878,15.409074,15.394255,15.405108,15.399718,15.400883,15.400677,15.411403,15.404914
1050.728,0,0,0,0,0,0,0,0,0,0
23.40499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1105.944,16.207127,16.200896,16.214556,16.197362,16.210801,16.206366,16.205482,16.204381,16.217937,16.210686
24.196478,0,0,0,0,0,0,0,0,0,0
1161.136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24.985512,17.011561,17.005663,17.019994,17.000978,17.015827,17.01152,17.008958,17.006891,17.023169,17.014419
1216.192,0,0,0,0,0,0,0,0,0,0
25.7718,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1271.0016,17.816714,17.810052,17.824395,17.805178,17.820144,17.814969,17.811651,17.808917,17.827081,17.816668
26.555009,0,0,0,0,0,0,0,0,0,0
1325.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27.334762,18.622287,18.613449,18.627892,18.608927,18.623509,18.617314,18.612608,18.61147,18.628287,18.618569
1379.448,0,0,0,0,0,0,0,0,0,0
28.110625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1432.872,19.426987,19.415596,19.43072,19.411174,19.425883,19.419142,19.411236,19.413995,19.428186,19.420543
28.882102,0,0,0,0,0,0,0,0,0,0
1485.624,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29.648619,20.230615,20.215986,20.231283,20.21226,20.226553,20.220065,20.208678,20.215739,20.227501,20.220453
1537.6016,0,0,0,0,0,0,0,0,0,0
30.409511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1588.704,21.033504,21.013877,21.028904,21.012466,21.024437,21.019878,21.005106,21.016773,21.025412,21.017016
31.164003,0,0,0,0,0,0,0,0,0,0
1638.832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31.911184,21.835076,21.810051,21.824764,21.811138,21.820915,21.818069,21.799863,21.816623,21.822596,21.812033
1687.888,0,0,0,0,0,0,0,0,0,0
32.649979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1735.776,22.634883,22.604713,22.619615,22.607748,22.61664,22.615074,22.592083,22.615182,22.617691,22.606523
33.379113,0,0,0,0,0,0,0,0,0,0
1782.4016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34.097055,23.434252,23.398375,23.412656,23.403834,23.410126,23.409451,23.382263,23.41214,23.409049,23.400008
1827.672,0,0,0,0,0,0,0,0,0,0
34.801957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
