m,0,1,2,3,4,5,6,7,8,9
1050.728,22.137143,13.874286,13.965714,67.422857,12.582857,26.271429,43.494286,21.822857,53.414286,22.514286
23.40499,-0.756033,-0.821597,-0.801715,-0.447877,-0.841405,-0.704374,-0.584856,-0.747392,-0.506281,-0.730922
1105.944,16.196458,16.224795,16.200402,16.198418,16.196648,16.20149,16.208034,16.205525,16.232342,16.207733
24.196478,23.965714,15.191429,15.248571,73.351429,13.657143,28.588571,47.211429,23.657143,58.128571,24.654286
1161.136,-0.761034,-0.814861,-0.815816,-0.459845,-0.846437,-0.701615,-0.58034,-0.764238,-0.518395,-0.72052
24.985512,16.997701,17.028873,17.009052,16.99991,16.99907,17.004222,17.011458,17.012582,17.034857,17.012893
1216.192,25.894286,16.514286,16.554286,79.422857,14.782857,30.82,51.08,25.617143,62.94,26.768571
25.7718,-0.757194,-0.817997,-0.816114,-0.461015,-0.842167,-0.720535,-0.573923,-0.751665,-0.517604,-0.729634
1271.0016,17.797034,17.827806,17.816026,17.798681,17.803196,17.806272,17.812616,17.819182,17.834949,17.815847
26.555009,27.891429,17.905714,17.88,85.617143,15.868571,33.131429,54.957143,27.668571,67.794286,28.725714
1325.456,-0.752252,-0.810671,-0.817078,-0.455333,-0.850134,-0.715449,-0.583197,-0.745644,-0.522429,-0.755135
27.334762,18.59578,18.624617,18.621192,18.595192,18.60924,18.60867,18.613476,18.623958,18.633828,18.617504
1379.448,29.937143,19.242857,19.337143,91.851429,17.011429,35.614286,58.74,29.822857,72.66,30.808571
28.110625,-0.748137,-0.821192,-0.801203,-0.457976,-0.845415,-0.699035,-0.599551,-0.736911,-0.530288,-0.739637
1432.872,19.392686,19.420951,19.423789,19.391851,19.412921,19.409794,19.415333,19.427839,19.430093,19.418997
28.882102,31.934286,20.634286,20.562857,98.08,18.271429,37.862857,62.748571,32.002857,77.751429,32.894286
1485.624,-0.755746,-0.814946,-0.83513,-0.465756,-0.833219,-0.728928,-0.577748,-0.737505,-0.514422,-0.743261
29.648619,20.187071,20.217057,20.226077,20.187492,20.211946,20.209261,20.216415,20.230276,20.224797,20.220427
1537.6016,34.111429,21.962857,21.9,104.182857,19.528571,40.28,66.485714,34.297143,82.854286,35.011429
30.409511,-0.737294,-0.825177,-0.822288,-0.484871,-0.834671,-0.714491,-0.613545,-0.726941,-0.514052,-0.74372
1588.704,20.980846,21.012294,21.029477,20.980627,21.006695,21.005433,21.017068,21.030466,21.018561,21.019005
31.164003,36.154286,23.197143,23.231429,110.397143,20.608571,42.665714,70.365714,36.46,88.037143,37.171429
1638.832,-0.756189,-0.840349,-0.824483,-0.474243,-0.85892,-0.720709,-0.600046,-0.743646,-0.514788,-0.742276
31.911184,21.77161,21.807474,21.831055,21.773507,21.796947,21.799918,21.817456,21.830809,21.809766,21.817752
1687.888,38.165714,24.528571,24.645714,116.628571,21.788571,45.074286,74.462857,38.694286,93.282857,39.34
32.649979,-0.761861,-0.827898,-0.815274,-0.475301,-0.845059,-0.717606,-0.581822,-0.738866,-0.509588,-0.738839
1735.776,22.560003,22.601303,22.629059,22.565565,22.585677,22.593048,22.617562,22.629013,22.598579,22.614842
33.379113,40.214286,25.965714,26.068571,122.937143,23.045714,47.505714,78.382857,40.834286,98.611429,41.494286
1782.4016,-0.756705,-0.815497,-0.814625,-0.474833,-0.835789,-0.716881,-0.600698,-0.75102,-0.502565,-0.742942
34.097055,23.346262,23.390279,23.423655,23.353584,23.376256,23.385434,23.414592,23.423741,23.385524,23.409342
1827.672,42.468571,27.368571,27.465714,129.405714,24.2,49.871429,82.425714,43.042857,103.788571,43.694286
34.801957,-0.731878,-0.819824,-0.818183,-0.462903,-0.850318,-0.723951,-0.589323,-0.743291,-0.518565,-0.737106
1871.496,24.130437,24.17382,24.216016,24.137389,24.167324,24.176586,24.2081,24.217511,24.168931,24.200184
35.491568,44.525714,28.602857,28.762857,135.745714,25.374286,52.44,86.488571,45.205714,109.025714,45.857143
1913.784,-0.756119,-0.84118,-0.830891,-0.471066,-0.846594,-0.700389,-0.587688,-0.748041,-0.513893,-0.743099
36.163116,24.912764,24.951708,25.007858,24.920512,24.955217,24.963969,24.998842,25.008816,24.948028,24.989176
1954.448,46.62,29.96,30.031429,142.037143,26.537143,54.888571,90.331429,47.428571,114.16,48.008571
36.813149,-0.750716,-0.824531,-0.834736,-0.471913,-0.847941,-0.71509,-0.608957,-0.741771,-0.520615,-0.743361
1993.4016,25.693081,25.727316,25.796602,25.701782,25.740835,25.748104,25.787026,25.795239,25.725204,25.777136
37.437314,48.682857,31.217143,31.271429,148.068571,27.705714,57.457143,94.228571,49.508571,119.12,50.171429
2030.56,-0.752125,-0.836705,-0.837003,-0.493857,-0.845677,-0.697509,-0.602907,-0.758235,-0.534267,-0.739066
38.030048,26.468015,26.50376,26.582869,26.47519,26.523045,26.530201,26.569762,26.580739,26.500457,26.560884
2065.84,50.642857,32.42,32.562857,154.134286,28.731429,59.868571,98.202857,51.8,124.214286,52.268571
38.584118,-0.762827,-0.841719,-0.830212,-0.481984,-0.864584,-0.715946,-0.590901,-0.728608,-0.521279,-0.747472
2099.16,27.236902,27.283306,27.367534,27.242298,27.300914,27.310804,27.347239,27.366832,27.273045,27.337927
39.120338,52.514286,33.62,33.842857,159.937143,29.862857,62.351429,101.934286,53.942857,129.12,54.34
2130.52,-0.77205,-0.840267,-0.829694,-0.498626,-0.849453,-0.701872,-0.613497,-0.746017,-0.529634,-0.748931
39.663322,28.00116,28.06268,28.149516,28.006581,28.074636,28.087562,28.120524,28.147859,28.043571,28.11134
2159.9984,54.262857,34.882857,34.997143,165.72,30.994286,64.722857,105.728571,56.211429,134,56.311429
40.212868,-0.783394,-0.830356,-0.84495,-0.49393,-0.846657,-0.715746,-0.600295,-0.728675,-0.528112,-0.757842
2187.672,28.764869,28.837924,28.9258,28.769708,28.846455,28.860449,28.888038,28.923997,28.815016,28.883694
40.76878,55.994286,36.102857,36.174286,171.382857,32.062857,67.005714,109.385714,58.514286,138.728571,58.228571
2213.616,-0.781987,-0.833923,-0.84011,-0.496622,-0.853179,-0.721499,-0.613368,-0.721876,-0.536805,-0.760337
41.330865,29.526757,29.608348,29.697621,29.531375,29.609821,29.627387,29.650429,29.690975,29.586511,29.652541
2237.904,57.754286,37.194286,37.38,177.108571,33.228571,69.351429,113.028571,60.774286,143.194286,60.131429
41.898936,-0.77488,-0.849847,-0.832995,-0.487042,-0.836663,-0.706886,-0.609055,-0.724159,-0.555958,-0.759674
2260.608,30.282537,30.376694,30.463314,30.291821,30.365463,30.386653,30.411467,30.450034,30.356846,30.415879
42.47281,59.565714,38.337143,38.402857,182.648571,34.265714,71.528571,116.554286,62.997143,147.571429,61.974286
2281.7984,-0.764026,-0.840237,-0.858068,-0.490262,-0.852394,-0.726111,-0.611532,-0.722348,-0.55604,-0.762063
43.052306,31.031474,31.142137,31.219855,31.045113,31.116179,31.137896,31.167144,31.203642,31.124058,31.171869
2301.544,61.248571,39.468571,39.46,187.96,35.28,73.62,119.934286,65.171429,151.897143,63.697143
43.637251,-0.774885,-0.837654,-0.849174,-0.502696,-0.852942,-0.729746,-0.622365,-0.724841,-0.555826,-0.774745
2319.912,31.776653,31.896258,31.96205,31.786834,31.862585,31.881685,31.914931,31.951958,31.888474,31.923222
44.227475,62.902857,40.56,40.451429,192.9,36.231429,75.671429,123.102857,67.311429,156.111429,65.482857
2336.968,-0.773787,-0.840183,-0.85487,-0.524162,-0.859011,-0.729572,-0.635301,-0.723298,-0.55962,-0.76094
