   n,     epsi,   alph  ,    p    , r,stp, bigg    ,  sec
10000, 0.200000, 0.500000, 0.500000, 0, 1, 155.000000, 127.000000
10000, 0.200000, 0.500000, 0.500000, 1, 1, 207.000000, 157.000000
10000, 0.200000, 0.500000, 0.500000, 2, 1, 193.000000, 182.000000
10000, 0.200000, 0.500000, 0.500000, 3, 0, 122.000000, 121.000000
10000, 0.200000, 0.500000, 0.500000, 4, 2, 159.000000, 127.000000
10000, 0.200000, 0.500000, 0.500000, 5, 1, 212.000000, 132.000000
10000, 0.200000, 0.500000, 0.500000, 6, 1, 146.000000, 132.000000
10000, 0.200000, 0.500000, 0.500000, 7, 1, 144.000000, 140.000000
10000, 0.200000, 0.500000, 0.500000, 8, 2, 193.000000, 177.000000
10000, 0.200000, 0.500000, 0.500000, 9, 1, 144.000000, 139.000000
10000, 0.200000, 0.500000, 0.500000, 10, 1, 161.000000, 151.000000
10000, 0.200000, 0.500000, 0.500000, 11, 1, 158.000000, 126.000000
10000, 0.200000, 0.500000, 0.500000, 12, 1, 237.000000, 210.000000
10000, 0.200000, 0.500000, 0.500000, 13, 1, 156.000000, 137.000000
10000, 0.200000, 0.500000, 0.500000, 14, 1, 158.000000, 152.000000
10000, 0.200000, 0.500000, 0.500000, 15, 1, 232.000000, 129.000000
10000, 0.200000, 0.500000, 0.500000, 16, 1, 158.000000, 114.000000
10000, 0.200000, 0.500000, 0.500000, 17, 0, 237.000000, 142.000000
10000, 0.200000, 0.500000, 0.500000, 18, 1, 151.000000, 148.000000
10000, 0.200000, 0.500000, 0.500000, 19, 1, 146.000000, 126.000000
10000, 0.200000, 0.500000, 0.500000, 20, 1, 267.000000, 197.000000
10000, 0.200000, 0.500000, 0.500000, 21, 1, 147.000000, 135.000000
10000, 0.200000, 0.500000, 0.500000, 22, 1, 197.000000, 147.000000
10000, 0.200000, 0.500000, 0.500000, 23, 1, 174.000000, 113.000000
10000, 0.200000, 0.500000, 0.500000, 24, 1, 213.000000, 154.000000
10000, 0.200000, 0.500000, 0.500000, 25, 1, 223.000000, 172.000000
10000, 0.200000, 0.500000, 0.500000, 26, 1, 197.000000, 151.000000
10000, 0.200000, 0.500000, 0.500000, 27, 1, 150.000000, 147.000000
10000, 0.200000, 0.500000, 0.500000, 28, 2, 158.000000, 135.000000
10000, 0.200000, 0.500000, 0.500000, 29, 1, 208.000000, 175.000000
10000, 0.200000, 0.500000, 0.500000, 30, 1, 145.000000, 143.000000
10000, 0.200000, 0.500000, 0.500000, 31, 2, 211.000000, 195.000000
10000, 0.200000, 0.500000, 0.500000, 32, 1, 199.000000, 183.000000
10000, 0.200000, 0.500000, 0.500000, 33, 1, 144.000000, 119.000000
10000, 0.200000, 0.500000, 0.500000, 34, 0, 217.000000, 131.000000
10000, 0.200000, 0.500000, 0.500000, 35, 1, 189.000000, 188.000000
10000, 0.200000, 0.500000, 0.500000, 36, 1, 163.000000, 135.000000
10000, 0.200000, 0.500000, 0.500000, 37, 1, 122.000000, 109.000000
10000, 0.200000, 0.500000, 0.500000, 38, 1, 164.000000, 147.000000
10000, 0.200000, 0.500000, 0.500000, 39, 1, 143.000000, 140.000000
10000, 0.200000, 0.500000, 0.500000, 40, 1, 181.000000, 131.000000
10000, 0.200000, 0.500000, 0.500000, 41, 1, 184.000000, 130.000000
10000, 0.200000, 0.500000, 0.500000, 42, 2, 234.000000, 155.000000
10000, 0.200000, 0.500000, 0.500000, 43, 1, 178.000000, 142.000000
10000, 0.200000, 0.500000, 0.500000, 44, 1, 151.000000, 134.000000
10000, 0.200000, 0.500000, 0.500000, 45, 1, 136.000000, 124.000000
10000, 0.200000, 0.500000, 0.500000, 46, 1, 173.000000, 122.000000
10000, 0.200000, 0.500000, 0.500000, 47, 1, 166.000000, 143.000000
10000, 0.200000, 0.500000, 0.500000, 48, 1, 153.000000, 135.000000
10000, 0.200000, 0.500000, 0.500000, 49, 2, 161.000000, 147.000000
10000, 0.200000, 0.500000, 0.500000, 50, 1, 110.000000, 104.000000
10000, 0.200000, 0.500000, 0.500000, 51, 1, 147.000000, 124.000000
10000, 0.200000, 0.500000, 0.500000, 52, 1, 164.000000, 152.000000
10000, 0.200000, 0.500000, 0.500000, 53, 1, 244.000000, 219.000000
10000, 0.200000, 0.500000, 0.500000, 54, 1, 178.000000, 159.000000
10000, 0.200000, 0.500000, 0.500000, 55, 1, 207.000000, 151.000000
10000, 0.200000, 0.500000, 0.500000, 56, 1, 175.000000, 159.000000
10000, 0.200000, 0.500000, 0.500000, 57, 1, 221.000000, 215.000000
10000, 0.200000, 0.500000, 0.500000, 58, 1, 182.000000, 170.000000
10000, 0.200000, 0.500000, 0.500000, 59, 1, 198.000000, 171.000000
10000, 0.200000, 0.500000, 0.500000, 60, 1, 179.000000, 160.000000
10000, 0.200000, 0.500000, 0.500000, 61, 1, 216.000000, 182.000000
10000, 0.200000, 0.500000, 0.500000, 62, 1, 195.000000, 171.000000
10000, 0.200000, 0.500000, 0.500000, 63, 1, 167.000000, 130.000000
10000, 0.200000, 0.500000, 0.500000, 64, 1, 237.000000, 166.000000
10000, 0.200000, 0.500000, 0.500000, 65, 2, 151.000000, 133.000000
10000, 0.200000, 0.500000, 0.500000, 66, 1, 120.000000, 117.000000
10000, 0.200000, 0.500000, 0.500000, 67, 2, 244.000000, 149.000000
10000, 0.200000, 0.500000, 0.500000, 68, 1, 164.000000, 126.000000
10000, 0.200000, 0.500000, 0.500000, 69, 1, 198.000000, 152.000000
10000, 0.200000, 0.500000, 0.500000, 70, 1, 220.000000, 172.000000
