   n,     epsi,   alph  ,    p    , r,stp, bigg    ,  sec
10000, 0.200000, 15.000000, 0.500000, 0, 1, 190.000000, 110.000000
10000, 0.200000, 15.000000, 0.500000, 1, 1, 259.000000, 242.000000
10000, 0.200000, 15.000000, 0.500000, 2, 0, 236.000000, 176.000000
10000, 0.200000, 15.000000, 0.500000, 3, 1, 173.000000, 147.000000
10000, 0.200000, 15.000000, 0.500000, 4, 0, 261.000000, 145.000000
10000, 0.200000, 15.000000, 0.500000, 5, 0, 194.000000, 177.000000
10000, 0.200000, 15.000000, 0.500000, 6, 1, 316.000000, 178.000000
10000, 0.200000, 15.000000, 0.500000, 7, 0, 272.000000, 174.000000
10000, 0.200000, 15.000000, 0.500000, 8, 1, 306.000000, 197.000000
10000, 0.200000, 15.000000, 0.500000, 9, 1, 194.000000, 139.000000
10000, 0.200000, 15.000000, 0.500000, 10, 0, 364.000000, 199.000000
10000, 0.200000, 15.000000, 0.500000, 11, 0, 182.000000, 178.000000
10000, 0.200000, 15.000000, 0.500000, 12, 1, 163.000000, 135.000000
10000, 0.200000, 15.000000, 0.500000, 13, 1, 162.000000, 146.000000
10000, 0.200000, 15.000000, 0.500000, 14, 1, 200.000000, 155.000000
10000, 0.200000, 15.000000, 0.500000, 15, 1, 193.000000, 191.000000
10000, 0.200000, 15.000000, 0.500000, 16, 1, 141.000000, 130.000000
10000, 0.200000, 15.000000, 0.500000, 17, 1, 188.000000, 123.000000
10000, 0.200000, 15.000000, 0.500000, 18, 0, 274.000000, 180.000000
10000, 0.200000, 15.000000, 0.500000, 19, 0, 207.000000, 203.000000
10000, 0.200000, 15.000000, 0.500000, 20, 0, 308.000000, 274.000000
10000, 0.200000, 15.000000, 0.500000, 21, 0, 330.000000, 213.000000
10000, 0.200000, 15.000000, 0.500000, 22, 1, 252.000000, 244.000000
10000, 0.200000, 15.000000, 0.500000, 23, 0, 267.000000, 172.000000
10000, 0.200000, 15.000000, 0.500000, 24, 1, 234.000000, 141.000000
10000, 0.200000, 15.000000, 0.500000, 25, 0, 211.000000, 162.000000
10000, 0.200000, 15.000000, 0.500000, 26, 0, 158.000000, 128.000000
10000, 0.200000, 15.000000, 0.500000, 27, 0, 177.000000, 136.000000
10000, 0.200000, 15.000000, 0.500000, 28, 0, 164.000000, 153.000000
10000, 0.200000, 15.000000, 0.500000, 29, 0, 196.000000, 153.000000
10000, 0.200000, 15.000000, 0.500000, 30, 1, 233.000000, 169.000000
10000, 0.200000, 15.000000, 0.500000, 31, 0, 165.000000, 138.000000
10000, 0.200000, 15.000000, 0.500000, 32, 1, 176.000000, 154.000000
10000, 0.200000, 15.000000, 0.500000, 33, 1, 183.000000, 146.000000
10000, 0.200000, 15.000000, 0.500000, 34, 0, 184.000000, 133.000000
10000, 0.200000, 15.000000, 0.500000, 35, 0, 250.000000, 142.000000
