   n,     epsi,   alph  ,    p    , r,stp, bigg    ,  sec
10000, 0.200000, 10.000000, 0.500000, 0, 1, 171.000000, 170.000000
10000, 0.200000, 10.000000, 0.500000, 1, 0, 137.000000, 132.000000
10000, 0.200000, 10.000000, 0.500000, 2, 0, 200.000000, 195.000000
10000, 0.200000, 10.000000, 0.500000, 3, 1, 167.000000, 160.000000
10000, 0.200000, 10.000000, 0.500000, 4, 1, 266.000000, 167.000000
10000, 0.200000, 10.000000, 0.500000, 5, 0, 155.000000, 137.000000
10000, 0.200000, 10.000000, 0.500000, 6, 0, 198.000000, 186.000000
10000, 0.200000, 10.000000, 0.500000, 7, 1, 463.000000, 207.000000
10000, 0.200000, 10.000000, 0.500000, 8, 0, 149.000000, 139.000000
10000, 0.200000, 10.000000, 0.500000, 9, 0, 209.000000, 189.000000
10000, 0.200000, 10.000000, 0.500000, 10, 1, 243.000000, 183.000000
10000, 0.200000, 10.000000, 0.500000, 11, 1, 267.000000, 165.000000
10000, 0.200000, 10.000000, 0.500000, 12, 0, 299.000000, 263.000000
10000, 0.200000, 10.000000, 0.500000, 13, 0, 193.000000, 181.000000
10000, 0.200000, 10.000000, 0.500000, 14, 1, 144.000000, 124.000000
10000, 0.200000, 10.000000, 0.500000, 15, 1, 278.000000, 149.000000
10000, 0.200000, 10.000000, 0.500000, 16, 1, 144.000000, 135.000000
10000, 0.200000, 10.000000, 0.500000, 17, 0, 230.000000, 200.000000
10000, 0.200000, 10.000000, 0.500000, 18, 0, 260.000000, 184.000000
10000, 0.200000, 10.000000, 0.500000, 19, 0, 191.000000, 189.000000
10000, 0.200000, 10.000000, 0.500000, 20, 0, 332.000000, 133.000000
10000, 0.200000, 10.000000, 0.500000, 21, 0, 198.000000, 181.000000
10000, 0.200000, 10.000000, 0.500000, 22, 0, 174.000000, 118.000000
10000, 0.200000, 10.000000, 0.500000, 23, 0, 208.000000, 111.000000
10000, 0.200000, 10.000000, 0.500000, 24, 1, 150.000000, 144.000000
10000, 0.200000, 10.000000, 0.500000, 25, 1, 173.000000, 142.000000
10000, 0.200000, 10.000000, 0.500000, 26, 1, 254.000000, 152.000000
10000, 0.200000, 10.000000, 0.500000, 27, 0, 128.000000, 117.000000
10000, 0.200000, 10.000000, 0.500000, 28, 0, 252.000000, 227.000000
10000, 0.200000, 10.000000, 0.500000, 29, 0, 193.000000, 181.000000
10000, 0.200000, 10.000000, 0.500000, 30, 1, 243.000000, 197.000000
10000, 0.200000, 10.000000, 0.500000, 31, 1, 311.000000, 156.000000
10000, 0.200000, 10.000000, 0.500000, 32, 1, 242.000000, 233.000000
10000, 0.200000, 10.000000, 0.500000, 33, 0, 215.000000, 167.000000
10000, 0.200000, 10.000000, 0.500000, 34, 1, 305.000000, 137.000000
10000, 0.200000, 10.000000, 0.500000, 35, 1, 254.000000, 209.000000
10000, 0.200000, 10.000000, 0.500000, 36, 1, 139.000000, 113.000000
10000, 0.200000, 10.000000, 0.500000, 37, 0, 274.000000, 163.000000
10000, 0.200000, 10.000000, 0.500000, 38, 1, 156.000000, 146.000000
10000, 0.200000, 10.000000, 0.500000, 39, 1, 158.000000, 149.000000
10000, 0.200000, 10.000000, 0.500000, 40, 1, 265.000000, 180.000000
10000, 0.200000, 10.000000, 0.500000, 41, 0, 204.000000, 195.000000
10000, 0.200000, 10.000000, 0.500000, 42, 1, 231.000000, 199.000000
10000, 0.200000, 10.000000, 0.500000, 43, 1, 265.000000, 187.000000
10000, 0.200000, 10.000000, 0.500000, 44, 0, 445.000000, 136.000000
10000, 0.200000, 10.000000, 0.500000, 45, 2, 168.000000, 135.000000
10000, 0.200000, 10.000000, 0.500000, 46, 0, 147.000000, 103.000000
10000, 0.200000, 10.000000, 0.500000, 47, 1, 203.000000, 170.000000
10000, 0.200000, 10.000000, 0.500000, 48, 1, 196.000000, 112.000000
10000, 0.200000, 10.000000, 0.500000, 49, 1, 161.000000, 133.000000
10000, 0.200000, 10.000000, 0.500000, 50, 1, 440.000000, 114.000000
10000, 0.200000, 10.000000, 0.500000, 51, 1, 278.000000, 199.000000
10000, 0.200000, 10.000000, 0.500000, 52, 0, 195.000000, 157.000000
10000, 0.200000, 10.000000, 0.500000, 53, 0, 148.000000, 143.000000
10000, 0.200000, 10.000000, 0.500000, 54, 0, 248.000000, 218.000000
10000, 0.200000, 10.000000, 0.500000, 55, 1, 236.000000, 146.000000
10000, 0.200000, 10.000000, 0.500000, 56, 0, 142.000000, 125.000000
10000, 0.200000, 10.000000, 0.500000, 57, 0, 143.000000, 141.000000
10000, 0.200000, 10.000000, 0.500000, 58, 0, 225.000000, 212.000000
10000, 0.200000, 10.000000, 0.500000, 59, 1, 154.000000, 104.000000
