0, 0,Cr,-1.000000,-1.000000,
0, 0,Mr,1.333333,2.000000,
0, 1,Cr,-1.000000,1.000000,
0, 1,Mr,0.000000,1.000000,
1, 0,Cr,-1.000000,-1.000000,
1, 0,Mr,1.333333,2.000000,
1, 1,Cr,-1.000000,1.000000,
1, 1,Mr,0.000000,1.000000,
2, 0,Cr,-1.000000,-1.000000,
2, 0,Mr,1.333333,2.000000,
2, 1,Cr,-1.000000,1.000000,
2, 1,Mr,0.000000,1.000000,
3, 0,Cr,-1.000000,-1.000000,
3, 0,Mr,1.333333,2.000000,
3, 1,Cr,-1.000000,1.000000,
3, 1,Mr,0.000000,1.000000,
4, 0,Cr,-1.000000,-1.000000,
4, 0,Mr,1.333333,2.000000,
4, 1,Cr,-1.000000,1.000000,
4, 1,Mr,0.000000,1.000000,
